0.0000	5.0	255	0.00	0.00
0.0003	5.0	255	0.00	0.00
0.0006	5.0	255	0.00	0.00
0.0010	5.0	255	0.00	0.00
0.0013	5.0	255	0.00	0.00
0.0016	5.0	255	0.00	0.00
0.0019	5.0	255	0.00	0.00
0.0023	5.0	255	9.24	0.00
0.0027	5.0	255	0.00	25.96
0.0031	5.0	255	0.00	0.00
0.0034	5.0	255	9.13	0.00
0.0038	5.0	255	0.00	0.00
0.0041	5.0	255	9.24	0.00
0.0045	5.0	255	0.00	0.00
0.0049	5.0	255	8.92	0.00
0.0053	5.0	255	7.55	24.46
0.0057	5.0	255	0.00	0.00
0.0061	5.0	255	8.92	0.00
0.0065	5.0	255	7.93	0.00
0.0069	5.0	255	7.85	25.44
0.0074	5.0	255	6.18	0.00
0.0078	5.0	255	0.00	0.00
0.0081	5.0	255	8.92	0.00
0.0085	5.0	255	7.48	24.23
0.0090	5.0	255	6.39	0.00
0.0094	5.0	255	7.85	0.00
0.0099	5.0	255	7.55	24.46
0.0103	5.0	255	6.39	0.00
0.0107	5.0	255	7.85	0.00
0.0112	5.0	255	7.41	24.00
0.0117	5.0	255	6.44	0.00
0.0121	5.0	255	7.78	0.00
0.0125	5.0	255	15.10	24.46
0.0130	5.0	255	6.09	0.00
0.0134	5.0	255	14.15	22.92
0.0139	5.0	255	6.49	0.00
0.0144	5.0	255	14.15	22.92
0.0149	5.0	255	12.27	0.00
0.0153	5.0	255	7.34	23.78
0.0158	5.0	255	12.27	0.00
0.0162	5.0	255	7.78	0.00
0.0167	5.0	255	14.41	23.34
0.0172	5.0	255	11.64	18.85
0.0177	5.0	255	12.37	0.00
0.0182	5.0	255	14.15	22.92
0.0186	5.0	255	12.88	0.00
0.0191	5.0	255	7.08	22.92
0.0196	5.0	255	11.81	19.13
0.0201	5.0	255	12.18	0.00
0.0206	5.0	255	14.15	22.92
0.0211	5.0	255	17.72	19.13
0.0216	5.0	255	11.90	0.00
0.0221	5.0	255	14.15	22.92
0.0226	5.0	255	18.27	19.72
0.0231	5.0	255	11.47	0.00
0.0236	5.0	255	13.90	22.52
0.0241	5.0	255	11.99	19.42
0.0247	5.0	255	16.95	18.30
0.0252	5.0	255	12.27	0.00
0.0256	5.0	255	14.15	22.92
0.0262	5.0	255	16.95	18.30
0.0267	5.0	255	17.07	18.44
0.0272	5.0	255	12.37	0.00
0.0277	5.0	255	19.80	21.38
0.0283	5.0	255	17.45	18.85
0.0288	5.0	255	16.71	18.04
0.0294	5.0	255	17.20	18.57
0.0299	5.0	255	17.07	18.44
0.0305	5.0	255	17.07	18.44
0.0310	5.0	255	16.95	18.30
0.0316	5.0	255	21.82	17.67
0.0322	5.0	255	17.07	18.44
0.0327	5.0	255	21.82	17.67
0.0333	5.0	255	16.95	18.30
0.0338	5.0	255	17.20	18.57
0.0344	5.0	255	16.95	18.30
0.0349	5.0	255	17.20	18.57
0.0355	5.0	255	21.67	17.55
0.0361	5.0	255	21.97	17.79
0.0367	5.0	255	16.83	18.17
0.0372	5.0	255	17.32	18.71
0.0378	5.0	255	21.52	17.43
0.0384	5.0	255	22.12	17.92
0.0389	5.0	255	16.71	18.04
